Prospect Name,Great Streets Corridor,Official Amount,Fiscal Year,Business Address,City,State,Zip Code,NAIC codes,Business Type,Ward,Latitude,Longitude,Total Number of Projected/Retained Jobs,Total Projected Number of Jobs,Total Number of Employees Retained
Ask Investment Corp dba Dollar Plus Savings,7th St NW/Georgia Avenue NW,"$85,000.00 ",2013,1547 7th Street NW,Washington,DC,20001,44-45,Convenience Store,Ward 6,38.91093,-77.02172,4,0,4
"Compass Coffee, LLC dba Compass Coffee",7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,1535 7th Street NW,Washington,DC,20001,72,Coffee Shop,Ward 6,38.91062,-77.02158,24,24,
Ivy & Coney,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,1537 7th Street NW,Washington,DC,20001,72,Restaurant,Ward 6,38.91066,-77.02158,48,24,24
Gwynn Inc. dba Halcyon,7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,1326 8th Street NW,Washington,DC,20001,81,Salon/Barbershop,Ward 6,38.90804,-77.02319,8,8,0
Henderson Enterprise dba Wanda's on 7th,7th St NW/Georgia Avenue NW,"$74,719.28 ",2014,1851 7th Street NW,Washington,DC,20001,81,Salon/Barbershop,Ward 1,38.91533,-77.02166,54,22,32
"Pekoe Acupuncture and Wellness Center, PLLC",7th St NW/Georgia Avenue NW,"$85,000.00 ",2014,1410 9th Street NW Suite 1,Washington,DC,20001,71,Wellness Center,Ward 2,38.90903,-77.02419,19,7,12
Beyond Collective LLC dba Beyond Collective,7th St NW/Georgia Avenue NW,"$35,000.00 ",2016,"1240 9th Street NW, Suite 100",Washington,DC,20001,54,Creative Production Agency,Ward 2,38.90678,-77.02428,69,69,0
"Rito Loco, LLC",7th St NW/Georgia Avenue NW,"$85,000.00 ",2016,606 Florida Avenue NW,Washington,DC,20001,72,Fast Casual Resturant,Ward 6,38.91538,-77.0203,16,7,9
"MPH Solutions Group, LLC dba Reformation Fitness",7th St NW/Georgia Avenue NW,"$50,000.00 ",2016,1218 9th Street NW,Washington,DC,20001,71,Fitness Studio,Ward 2,38.90634,-77.02437,38,15,23
"Mimi and D, LLC dba PH9 Restaurant",7th St NW/Georgia Avenue NW,"$85,000.00 ",2016,1318 9th Street NW,Washington,DC,20001,72,Restaurant,Ward 2,38.90792,-77.02426,23,16,7
